Título;Ano;Títular;Linguagem;Autores;Campo de Aplicação;Tipo Programa
GEHAGRI ASPERSÃO;2014;UFPI;LAZARUS;JOSÉ ORLANDO PIAUILINO FERREIRA, MAURÍCIO RIBEIRO SENA;AG-06;AP-01
GEHAGRI LOCALIZADA;2014;UFPI;LAZARUS;JOSÉ ORLANDO PIAUILINO FERREIRA, MAURÍCIO RIBEIRO SENA;AG-06;AP-01
EPVIX HLA;2014;UFPI;RUBY;ADALBERTO SOCORRO DA SILVA, LUIZ CLAUDIO DEMES DA MATA SOUSA, SEMIRAMIS JAMIL HADAD DO MONTE;IF-10, IN-02, SD-06;AT-01, FA-01
IPNOSYS II PACKET GENERATOR;2014;UFPI;JAVA;IVAN SARAIVA SILVA, THIAGO RODRIGUES BARROS DA SILVA SOARES;IF-10;DS-01, DS-06
DIESMAGNA;2014;UFPI;HTML;ANA PAULA DOS SANTOS CORREIA LIMA DA SILVA, JOSÉ CARLOS CORREIA LIMA DA SILVA FILHO, RIVELILSON MENDES DE FREITAS;SD-10;IA-02
DIESMAGNA;2014;UFPI;JAVA;ANA PAULA DOS SANTOS CORREIA LIMA DA SILVA, JOSÉ CARLOS CORREIA LIMA DA SILVA FILHO, RIVELILSON MENDES DE FREITAS;SD-10;IA-02
DIESMAGNA;2014;UFPI;JAVASCRIPT;ANA PAULA DOS SANTOS CORREIA LIMA DA SILVA, JOSÉ CARLOS CORREIA LIMA DA SILVA FILHO, RIVELILSON MENDES DE FREITAS;SD-10;IA-02
ALMOXFAR;2014;UFPI;HTML;ANA PAULA DOS SANTOS CORREIA LIMA DA SILVA, JOSÉ CARLOS CORREIA LIMA DA SILVA FILHO, RIVELILSON MENDES DE FREITAS;SD-10;IA-02
ALMOXFAR;2014;UFPI;JAVA;ANA PAULA DOS SANTOS CORREIA LIMA DA SILVA, JOSÉ CARLOS CORREIA LIMA DA SILVA FILHO, RIVELILSON MENDES DE FREITAS;SD-10;IA-02
ALMOXFAR;2014;UFPI;JAVASCRIPT;ANA PAULA DOS SANTOS CORREIA LIMA DA SILVA, JOSÉ CARLOS CORREIA LIMA DA SILVA FILHO, RIVELILSON MENDES DE FREITAS;SD-10;IA-02
GEHAGRI PIVÔ;2014;UFPI;LAZARUS;JOSÉ ORLANDO PIAUILINO FERREIRA, MAURÍCIO RIBEIRO SENA;AG-06;AP-01
UVMP-SSC - UFPI`S VIRTUALIZABLE MULTI-CORE PROCESSOR;2013;UFPI;VHDL;IVAN SARAIVA SILVA, RAMON SANTOS NEPOMUCENO;CO-02, ED-04;CD-02
EPHLA CONVERTER;2012;UFPI;PYTHON;ADALBERTO SOCORRO DA SILVA, JOSÉ RENATO PEREIRA DE MOURA BARROSO, LUIZ CLAUDIO DEMES DA MATA SOUSA, SEMIRAMIS JAMIL HADAD DO MONTE;IF-10, IN-02, SD-06;AT-01, FA-01
PREVENT;2012;UFPI;JAVA;CARLOS HENRIQUE NERY COSTA, DORCAS LAMOUNIER COSTA, ELDO DE BRITO FERREIRA CHAVES;SD-06, SD-07, SD-08, SD-09;AP-01, IA-02, UT-01
FERRARE;2011;UFPI;JAVA;ISMAYLE DE SOUSA SANTOS, PEDRO DE ALCÂNTARA DOS SANTOS NETO;IF-01, IF-07, IF-10, IN-02;DS-01, FA-01, TC-01
TEST2DOC;2011;UFPI;JAVA;ISMAYLE DE SOUSA SANTOS, PEDRO DE ALCÂNTARA DOS SANTOS NETO;IF-01, IF-02, IF-07, IF-10, IN-02;DS-07, FA-01, TC-01
TCHANGEREPORT;2011;UFPI;JAVA;CLEITON DOS SANTOS MOURA, PEDRO DE ALCÂNTARA DOS SANTOS NETO, WILLAME PEREIRA DE OLIVEIRA;IF-01, IF-02, IF-07, IF-10, IN-02;AP-03, DS-07, FA-01, TC-01
TWORK;2011;UFPI;JAVA;PEDRO DE ALCÂNTARA DOS SANTOS NETO, WILLAME PEREIRA DE OLIVEIRA;IF-01, IF-02, IF-07, IF-10, IN-02;DS-01, DS-04, DS-07, FA-01, GI-01
XHLA;2011;UFPI;OBJECT PASCAL;LUIZ CLAUDIO DEMES DA MATA SOUSA, SEMIRAMIS JAMIL HADAD DO MONTE;IF-10, SD-01, SD-06, SD-07;AT-01, FA-01
LABSYSTEM GEN;2010;UFPI;DELPHI;LUIZ CLAUDIO DEMES DA MATA SOUSA, SEMIRAMIS JAMIL HADAD DO MONTE;BL-02, IF-02, IF-10;DS-02, GI-01, GI-02, GI-03, GI-08
